x,y,size,angle,response,octave,class_id
447.810943604,254.338531494,89,270,2444.3684082,2,-1
620.54284668,140.547607422,114,270,2551.90795898,2,-1
433.69229126,210.868408203,113,270,2637.44702148,2,1
536.800048828,193.071151733,134,270,2643.89794922,2,1
521.370300293,129.003707886,124,270,2649.87255859,3,-1
404.595397949,152.919921875,228,270,2723.40234375,3,1
193.654464722,136.089294434,125,270,2728.70581055,2,-1
450.290924072,261.810546875,108,270,2791.56738281,2,-1
562.660766602,216.91116333,89,270,2840.60693359,2,1
248.684417725,218.130752563,86,270,2858.91796875,2,1
401.662719727,216.901489258,88,270,2864.68237305,2,1
518.658630371,129.081451416,130,270,2867.89282227,2,-1
397.504699707,297.99118042,16,270,2892.19580078,0,1
243.504699707,133.99118042,16,270,2892.19580078,0,1
571.504699707,127.99118042,16,270,2892.19580078,0,1
536.68157959,206.56401062,134,270,2965.94213867,2,1
194.494277954,132.827682495,125,270,3125.65039062,3,-1
610.532714844,253.819610596,85,270,3148.46728516,2,-1
611.221069336,146.549316406,84,270,3182.69335938,2,-1
234.056610107,187.085037231,27,270,3412.25341797,0,-1
387.056610107,185.085037231,27,270,3412.25341797,0,-1
548.05657959,185.085037231,27,270,3412.25341797,0,-1
262.814178467,187.172805786,27,270,3416.65869141,0,-1
415.814178467,185.172805786,27,270,3416.65869141,0,-1
576.814208984,185.172805786,27,270,3416.65869141,0,-1
243.453536987,249.952484131,229,270,3451.20092773,3,1
310.536712646,149.984451294,113,270,3457.22583008,2,-1
618.064697266,264.076965332,124,270,3471.17773438,3,-1
401.584381104,187.846923828,265,270,3479.50830078,3,1
274.604614258,217.746856689,18,270,3504.08496094,0,-1
427.604614258,215.746856689,18,270,3504.08496094,0,-1
588.604614258,215.746856689,18,270,3504.08496094,0,-1
275.662506104,184.66734314,17,270,3574.41723633,0,-1
428.662506104,182.66734314,17,270,3574.41723633,0,-1
589.662475586,182.66734314,17,270,3574.41723633,0,-1
276.716583252,218.928878784,16,270,3600.41674805,0,-1
