X,Y,Response,,,,,,,,,,,,19.062789917,19.062789917,0,,16.4981498718,16.4981498718,0
387.056610107,185.085037231,3412.25341797,,,375.010894775,374.833984375,0.1769104,,212.129699707,212.129699707,0,,,72.4898834229,71.8447570801,0.6451263428,,38.6801719666,38.6219902039,0.0581817627
548.05657959,185.085037231,3412.25341797,,,222.010910034,221.833969116,0.176940918,,214.055130005,214.055130005,0,,,116.237426758,115.553215027,0.684211731,,38.6835670471,38.6801719666,0.0033950805
262.814178467,187.172805786,3416.65869141,,,536.010925293,535.833984375,0.176940918,,214.589065552,214.589065552,0,,,58.1092185974,57.4196014404,0.689617157,,38.6882781982,38.6835670471,0.0047111511
415.814178467,185.172805786,3416.65869141,,,548.05657959,547.844055176,0.212524414,,214.893341064,214.893341064,0,,,73.1807403564,72.4898834229,0.6908569335,,38.6973190308,38.6882781982,0.0090408326
576.814208984,185.172805786,3416.65869141,,,387.056610107,386.844024658,0.212585449,,215.746856689,215.746856689,0,,,75.4594345093,74.7447891235,0.7146453858,,38.7101554871,38.6973190308,0.0128364563
274.604614258,217.746856689,3504.08496094,,,234.056610107,233.844024658,0.212585449,,216.928878784,216.928878784,0,,,118.723564148,118.001823425,0.721740723,,38.7456054688,38.7101554871,0.0354499817
427.604614258,215.746856689,3504.08496094,,,274.854644775,274.604614258,0.250030517,,216.957946777,216.957946777,0,,,99.5133361816,98.7504043579,0.7629318237,,38.7544403076,38.7456054688,0.0088348388
588.604614258,215.746856689,3504.08496094,,,427.854644775,427.604614258,0.250030517,,222.38734436,222.38734436,0,,,129.232025146,128.466934204,0.765090942,,38.8057441711,38.7544403076,0.0513038635
275.662506104,184.66734314,3574.41723633,,,588.854675293,588.604614258,0.250061035,,224.464889526,224.464889526,0,,,117.366088867,116.592498779,0.773590088,,38.8690032959,38.8057441711,0.0632591248
428.662506104,182.66734314,3574.41723633,,,190.959671021,190.683288574,0.276382447,,199.689941406,199.68637085,0.003570556,,,104.433189392,103.550132751,0.883056641,,38.9238891602,38.8690032959,0.0548858643
589.662475586,182.66734314,3574.41723633,,,504.959686279,504.683288574,0.276397705,,201.689941406,201.68637085,0.003570556,,,100.735084534,99.7768554688,0.9582290652,,38.9354934692,38.9238891602,0.011604309
276.716583252,218.928878784,3600.41674805,,,233.844024658,233.564285278,0.27973938,,199.877349854,199.870315552,0.007034302,,,30.8861980438,29.9051380157,0.9810600281,,38.9402656555,38.9354934692,0.0047721863
429.716583252,216.928878784,3600.41674805,,,547.844055176,547.56427002,0.279785156,,188.940841675,188.933563232,0.007278443,,,103.098403931,102.109550476,0.988853455,,38.964805603,38.9402656555,0.0245399475
590.716552734,216.928878784,3600.41674805,,,276.162475586,275.662506104,0.499969482,,190.940841675,190.933563232,0.007278443,,,26.4119606018,25.3981933594,1.0137672424,,44.7508621216,38.964805603,5.7860565186
219.255081177,184.087432861,3714.77490234,,,429.162475586,428.662506104,0.499969482,,201.870315552,201.862030029,0.008285523,,,115.107963562,114.052276611,1.055686951,,45.6717414856,44.7508621216,0.920879364
372.255065918,182.087432861,3714.77490234,,,590.162475586,589.662475586,0.5,,201.942626953,201.925918579,0.016708374,,,141.402618408,140.216125488,1.18649292,,45.9826431274,45.6717414856,0.3109016418
533.255065918,182.087432861,3714.77490234,,,590.716552734,590.162475586,0.554077148,,199.894470215,199.877349854,0.017120361,,,59.3319282532,58.1092185974,1.2227096558,,46.020904541,45.9826431274,0.0382614136
221.833969116,218.957946777,3737.22460938,,,276.716583252,276.162475586,0.554107666,,207.71472168,207.692474365,0.022247315,,,74.5175552368,73.1807403564,1.3368148804,,46.0346488953,46.020904541,0.0137443543
374.833984375,216.957946777,3737.22460938,,,429.716583252,429.162475586,0.554107666,,199.713943481,199.689941406,0.024002075,,,142.805831909,141.46697998,1.338851929,,46.3907585144,46.0346488953,0.3561096191
535.833984375,216.957946777,3737.22460938,,,578.210449219,577.640930176,0.569519043,,201.713943481,201.689941406,0.024002075,,,102.109550476,100.735084534,1.374465942,,46.685710907,46.3907585144,0.2949523926
264.210479736,216.589065552,3777.69921875,,,264.210479736,263.640899658,0.569580078,,199.966720581,199.942626953,0.024093628,,,77.1070632935,75.6075668335,1.49949646,,47.1444511414,46.685710907,0.4587402344
